0
0.01	13.65	15.95	11.38
0.10	12.98	15.64	11.29
0.20	12.63	15.32	10.91
0.40	11.50	13.60	9.71
0.50	11.03	12.82	9.21
0.60	11.12	11.92	8.66
0.80	9.54	8.83	6.59
0.90	8.79	6.73	5.25
20
0.01	13.09	17.53	13.89
0.10	13.03	17.58	14.02
0.20	12.38	17.05	13.50
0.40	11.56	15.00	12.20
0.50	10.84	14.59	11.87
0.60	10.17	13.64	11.06
0.80	8.78	10.25	8.59
0.90	7.96	8.56	7.37
50
0.01	9.36	12.20	9.41
0.10	9.32	12.31	9.49
0.20	9.18	12.16	9.41
0.40	8.74	11.30	8.90
0.50	8.05	10.25	8.16
0.60	7.95	10.22	8.11
0.80	6.85	8.20	6.60
0.90	6.24	7.04	5.80
80
0.01	5.48	7.23	5.59
0.10	4.34	5.90	4.40
0.20	3.92	5.39	3.99
0.40	4.03	5.43	4.09
0.50	3.79	5.29	4.04
0.60	3.61	4.94	3.67
0.80	3.11	4.22	3.14
0.90	2.96	4.04	3.03
